name,rating
"Unknown, Seamus Heaney",Novice
"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Intermediate
Harper Lee,Novice
David Sedaris,Intermediate
Laini Taylor,Intermediate
Victoria Aveyard,Intermediate
Charles Duhigg,Intermediate
John Berendt,Intermediate
Colleen Hoover,Intermediate
"Frances Hodgson Burnett, Nancy Bond",Intermediate
Sarah Dessen,Intermediate
C.S. Lewis,Intermediate
Richelle Mead,Famous
"Laura Ingalls Wilder, Garth Williams",Intermediate
"Margery Williams Bianco, William   Nicholson",Intermediate
Robert M. Pirsig,Intermediate
"H.G. Wells, Arthur C. Clarke",Intermediate
Sara Shepard,Intermediate
Don Freeman,Intermediate
Michael Pollan,Intermediate
Kate Atkinson,Intermediate
Nicholas Sparks,Intermediate
Stephen King,Intermediate
Diana Gabaldon,Intermediate
"Kenneth Branagh, William Shakespeare",Intermediate
Jeffrey Eugenides,Intermediate
Charlaine Harris,Intermediate
"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",Intermediate
"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",Intermediate
"Norton Juster, Jules Feiffer",Intermediate
Brandon Sanderson,Famous
Ned Vizzini,Intermediate
Brandon Sanderson,Intermediate
Jojo Moyes,Intermediate
Vanessa Diffenbaugh,Intermediate
"Frank Miller, Klaus Janson, Lynn Varley",Intermediate
James Patterson,Intermediate
Nick Hornby,Intermediate
Margaret Atwood,Intermediate
John Gray,Intermediate
Anthony Bourdain,Intermediate
Michael Crichton,Intermediate
Voltaire,Intermediate
Natalie Babbitt,Intermediate
"Stephen King, Marie Milpois",Intermediate
P.D. Eastman,Intermediate
E.H. Gombrich,Intermediate
Marissa Meyer,Intermediate
Robert T. Kiyosaki,Intermediate
Becca Fitzpatrick,Intermediate
Lev Grossman,Novice
"Tsugumi Ohba, Takeshi Obata",Famous
Libba Bray,Intermediate
Jonathan Safran Foer,Intermediate
Robert Ludlum,Intermediate
Tammara Webber,Intermediate
"Charles Dickens, Jeremy Tambling",Intermediate
"Sherman Alexie, Ellen Forney",Intermediate
"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",Intermediate
Ursula K. Le Guin,Intermediate
"Kate DiCamillo, Chris Sheban",Intermediate
John Knowles,Intermediate
John Grisham,Intermediate
"Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford",Intermediate
Robin Hobb,Intermediate
Douglas Adams,Intermediate
Lauren Kate,Intermediate
Beatrix Potter,Intermediate
"C.S. Lewis, Pauline Baynes",Intermediate
Susanna Kaysen,Intermediate
Chelsea Handler,Intermediate
"Richard Bach, Russell Munson",Intermediate
Cassandra Clare,Famous
"Robert Munsch, Sheila McGraw",Intermediate
Daniel James Brown,Intermediate
"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",Intermediate
Kate Morton,Intermediate
"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",Intermediate
Jodi Picoult,Intermediate
Piper Kerman,Intermediate
"Arthur Conan Doyle, Anne Perry",Intermediate
Daniel Kahneman,Intermediate
Marion Zimmer Bradley,Intermediate
Judy Blume,Intermediate
Chris Bohjalian,Intermediate
Chris Van Allsburg,Intermediate
"Jon Scieszka, Lane Smith",Intermediate
Tom Clancy,Intermediate
"Paulo Coelho, Margaret Jull Costa",Intermediate
"Sheryl Sandberg, Nell Scovell",Intermediate
Tahereh Mafi,Intermediate
Robert A. Heinlein,Intermediate
Sophie Kinsella,Intermediate
"Jostein Gaarder, Paulette MÃ¸ller",Intermediate
Mark Cotta Vaz,Intermediate
Ray Bradbury,Intermediate
Jennifer Egan,Intermediate
"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",Intermediate
Ken Follett,Intermediate
"P.C. Cast, Kristin Cast",Intermediate
Alex Flinn,Intermediate
"Geoffrey Chaucer, Nevill Coghill",Novice
Emily Giffin,Intermediate
Christopher Paolini,Intermediate
"Haruki Murakami, Jay Rubin, Philip Gabriel",Intermediate
Harriet Beecher Stowe,Intermediate
"Gaston Leroux, Alexander Teixeira de Mattos",Intermediate
"JosÃ© Saramago, Giovanni Pontiero",Intermediate
Jonathan Franzen,Intermediate
Ally Condie,Intermediate
Ally Carter,Intermediate
Aravind Adiga,Intermediate
Barack Obama,Intermediate
"Judith Viorst, Ray Cruz",Intermediate
Jhumpa Lahiri,Intermediate
Howard Zinn,Intermediate
Truman Capote,Intermediate
Justin Cronin,Intermediate
Neil Gaiman,Intermediate
Celeste Ng,Intermediate
"Isabel Allende, Magda Bogin",Intermediate
"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…",Intermediate
Agatha Christie,Intermediate
Chimamanda Ngozi Adichie,Intermediate
Sylvia Day,Intermediate
Christopher McDougall,Intermediate
Gabrielle Zevin,Intermediate
Ludwig Bemelmans,Intermediate
Napoleon Hill,Intermediate
Susanna Clarke,Intermediate
Rick Riordan,Famous
Michael  Grant,Intermediate
David McCullough,Intermediate
Jon Krakauer,Intermediate
Jess Walter,Intermediate
Kristin Hannah,Intermediate
"Robert Galbraith, J.K. Rowling",Intermediate
Anne Rice,Intermediate
Ann Patchett,Intermediate
Matthew Quick,Intermediate
"Jules Verne, Anthony Bonner",Intermediate
Philippa Gregory,Intermediate
"Virginia Woolf, Maureen Howard",Intermediate
"Jonas Jonasson, Rod Bradbury",Intermediate
John Irving,Intermediate
"Richard Bachman, Stephen King",Intermediate
"Jules Verne, Michael Glencross, Brian W. Aldiss",Intermediate
Sharon Creech,Intermediate
J.D. Salinger,Intermediate
Julie Powell,Intermediate
Neal Shusterman,Intermediate
Marie Lu,Intermediate
William Shakespeare,Intermediate
Arthur Miller,Novice
Kate Egan,Famous
William Faulkner,Intermediate
Eckhart Tolle,Intermediate
Tite Kubo,Intermediate
Allie Brosh,Intermediate
Robert Jordan,Intermediate
Gregory David Roberts,Intermediate
"Stephen King, Ned Dameron",Intermediate
Jeffery Deaver,Intermediate
"Bernhard Schlink, Carol Brown Janeway",Intermediate
"Bill Martin Jr., Eric Carle",Intermediate
Dan Simmons,Intermediate
John Steinbeck,Novice
William Peter Blatty,Intermediate
Stephenie Meyer,Intermediate
David Guterson,Intermediate
Alex Haley,Famous
"Alan Moore, Brian Bolland, Tim Sale",Intermediate
Ralph Ellison,Intermediate
Ishmael Beah,Intermediate
Robert C. O'Brien,Intermediate
Melissa Bank,Novice
Hugh Howey,Intermediate
Christopher Moore,Intermediate
Jenny  Lawson,Intermediate
Scott Lynch,Intermediate
Garth Nix,Intermediate
Jennifer L. Armentrout,Intermediate
Sarah J. Maas,Famous
Bryan Lee O'Malley,Intermediate
Jeannette Walls,Intermediate
Terry Pratchett,Intermediate
Julie Kagawa,Intermediate
Larry McMurtry,Famous
Mary Roach,Intermediate
Richelle Mead,Intermediate
Orson Scott Card,Intermediate
Thomas Keneally,Intermediate
Toni Morrison,Intermediate
"Malcolm X, Alex Haley",Intermediate
"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",Intermediate
Laura Hillenbrand,Intermediate
Dennis Lehane,Intermediate
Arthur Conan Doyle,Famous
"William Shakespeare, Roma Gill",Intermediate
Erik Larson,Intermediate
"Plato, Desmond Lee",Intermediate
Marissa Meyer,Famous
Patti Smith,Intermediate
Phaidon Press,Intermediate
Jane Green,Intermediate
"Victor Hugo, Walter J. Cobb",Intermediate
Rohinton Mistry,Intermediate
"Bill Watterson, G.B. Trudeau",Famous
Scott Westerfeld,Intermediate
Kate Chopin,Intermediate
Mitch Albom,Intermediate
Shel Silverstein,Intermediate
Justin Halpern,Intermediate
"Irvine Welsh, Eric Lindor Fall",Intermediate
Isaac Asimov,Intermediate
Miguel Ruiz,Intermediate
"Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern",Intermediate
E.L. Konigsburg,Intermediate
Samantha Young,Intermediate
"Francis Chan, Danae Yankoski, Chris Tomlin",Intermediate
Dr. Seuss,Intermediate
Dean Koontz,Intermediate
Helen Keller,Intermediate
Jonathan Tropper,Intermediate
Seth Grahame-Smith,Intermediate
"Natsuki Takaya, Alethea Nibley, Athena Nibley",Intermediate
"Stephen King, Dave McKean",Intermediate
Dave Eggers,Novice
Brian Selznick,Intermediate
"Aldous Huxley, Christopher Hitchens",Intermediate
Bisco Hatori,Excellent
Mary Kubica,Intermediate
Abbi Glines,Excellent
Rainbow Rowell,Intermediate
