csv_index,title,publishing_year,genre_id,publisher_id,author_id,language_id,average_rating,ratings_count,sale_price,gross_sales,publisher_revenue,sales_rank,units_sold
0,Beowulf,1975,1,1,1,1,3.42,155903,4.88,34160.0,20496.0,1,7000
1,Batman: Year One,1987,1,1,2,2,4.23,145267,1.99,12437.5,7462.5,2,6250
2,Go Set a Watchman,2015,1,2,3,2,3.31,138669,8.69,47795.0,28677.0,3,5500
3,When You Are Engulfed in Flames,2008,2,3,4,1,4.04,150898,7.5,41250.0,24750.0,3,5500
4,Daughter of Smoke & Bone,2011,1,4,5,2,4.04,198283,7.99,37952.5,22771.5,4,4750
5,Red Queen,2015,1,2,6,2,4.08,83354,4.99,19960.0,0.0,5,4000
6,The Power of Habit,2011,1,1,7,2,4.03,155977,6.99,27491.67,16495.002,6,3933
7,Midnight in the Garden of Good and Evil,1994,3,3,8,2,3.9,167997,6.89,26182.0,15709.2,8,3800
8,Hopeless,2012,1,1,9,2,4.34,189938,6.99,26093.67,15656.202,9,3733
9,A Little Princess,1905,1,5,10,2,4.2,199872,6.49,23792.34,14275.404,10,3666
10,The Truth About Forever,2004,1,2,11,1,4.13,179415,4.99,17964.0,0.0,11,3600
11,The horse and his boy,1954,2,4,12,2,3.9,189671,5.99,21564.0,12938.4,11,3600
12,Last Sacrifice,2010,1,2,13,2,4.42,206792,0.99,3431.34,0.0,13,3466
13,Little House on the Prairie,1935,1,1,14,2,4.18,195424,1.99,6897.34,4138.404,13,3466
14,The Velveteen Rabbit,1922,1,5,15,2,4.29,173469,6.54,21797.82,13078.692,15,3333
15,Zen and the Art of Motorcycle Maintenance,1974,1,2,16,2,3.76,139411,4.99,16297.34,0.0,16,3266
16,The War of the Worlds,1897,1,2,17,2,3.8,159752,4.99,15968.0,0.0,17,3200
17,Pretty Little Liars,2006,1,2,18,1,3.9,156328,4.99,15968.0,0.0,17,3200
18,Corduroy,1948,1,6,19,1,4.28,160860,1.99,6234.67,3740.802,18,3133
19,The Omnivore's Dilemma,2006,1,2,20,2,4.17,133271,0.99,3035.34,0.0,19,3066
20,Life After Life,2013,1,2,21,2,3.74,138454,3.99,11702.67,0.0,21,2933
21,The Rescue,2000,1,2,22,1,4.1,142092,2.99,8569.34,0.0,22,2866
22,Needful Things,1991,1,2,23,3,3.87,153821,0.99,2772.0,0.0,23,2800
23,Voyager,1993,1,2,24,2,4.38,157395,2.99,8171.67,0.0,24,2733
24,,1996,1,2,25,2,4.12,156869,0.99,2639.34,1583.604,25,2666
25,Cujo,1981,1,2,23,4,3.65,158215,2.99,7774.0,0.0,26,2600
26,The Virgin Suicides,1993,1,4,26,2,3.83,159249,10.91,26904.06,16142.436,28,2466
27,Dead to the World,2004,1,2,27,2,4.13,199572,0.99,2376.0,0.0,29,2400
28,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,1891,3,3,28,2,3.77,171599,3.99,9576.0,5745.6,29,2400
29,Madame Bovary,1856,1,2,29,2,3.64,158877,3.99,9308.67,0.0,30,2333
30,The Phantom Tollbooth,1961,1,2,30,1,4.22,178432,1.99,4509.34,0.0,31,2266
31,The Way of Kings,2010,1,2,31,2,4.64,144822,0.99,2178.0,0.0,32,2200
32,Club Dead,2003,1,1,27,5,4.03,181323,5.99,13178.0,7906.8,32,2200
33,It's Kind of a Funny Story,2006,3,1,32,1,4.14,161001,0.99,2045.34,1227.204,34,2066
34,,2007,1,5,33,2,4.35,150736,8.99,17980.0,10788.0,35,2000
35,After You,2015,1,2,34,2,3.7,99342,0.99,1964.16,0.0,36,1984
36,The Language of Flowers,2011,1,2,35,2,4.07,140076,0.99,1964.16,1178.496,36,1984
37,Batman: The Dark Knight Returns,1986,1,2,36,2,4.25,135979,0.99,1949.31,0.0,37,1969
38,The Angel Experiment,2005,1,2,37,2,4.08,172302,0.99,1949.31,0.0,37,1969
39,High Fidelity,1995,1,5,38,2,3.94,134849,10.65,20309.55,12185.73,41,1907
40,The Guardian,2003,1,2,22,1,4.14,136427,0.99,1873.08,0.0,42,1892
41,Oryx and Crake,2003,1,2,39,2,4.0,151500,3.99,7485.24,0.0,43,1876
42,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",1998,1,2,40,1,3.52,113915,1.99,3703.39,2222.034,44,1861
43,Kitchen Confidential: Adventures in the Culinary Underbelly,2000,1,1,41,2,4.0,134177,5.99,11057.54,6634.524,45,1846
44,Timeline,1999,1,2,42,1,3.83,148563,6.99,12791.7,7675.02,46,1830
45,Candide,1759,1,2,43,2,3.76,151471,4.99,8982.0,0.0,48,1800
46,Tuck Everlasting,1975,3,2,44,2,3.85,174280,1.99,3582.0,2149.2,48,1800
47,Christine,1983,3,2,45,6,3.72,151160,0.99,1766.16,1059.696,49,1784
48,Are You My Mother?,1960,1,4,46,2,4.16,174204,5.99,10596.31,6357.786,50,1769
49,The Story of Art,1950,1,3,47,1,3.83,164708,8.59,15058.27,9034.962,51,1753
50,Scarlet,2013,1,2,48,2,4.3,193766,0.99,1720.62,1032.372,52,1738
51,"Rich Dad , Poor Dad",1997,1,5,49,2,3.95,153764,0.99,1705.77,1023.462,53,1723
52,Silence,2011,1,2,50,2,4.16,190722,4.99,8517.93,0.0,54,1707
53,The Magicians,2009,1,7,51,2,3.47,147908,0.99,1675.08,1005.048,55,1692
54,ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ),2004,1,2,52,2,4.42,139501,3.99,6687.24,0.0,56,1676
55,A Great and Terrible Beauty,2003,1,4,53,2,3.79,173613,2.99,4966.39,2979.834,57,1661
56,Everything Is Illuminated,2002,1,2,54,2,3.9,131492,0.99,1629.54,977.724,58,1646
57,The Bourne Supremacy,1986,1,4,55,1,4.09,142168,10.91,17783.3,10669.98,59,1630
58,Easy,2012,1,2,56,7,4.11,133937,0.99,1613.7,0.0,59,1630
59,David Copperfield,1849,1,3,57,2,3.96,150512,11.39,18394.85,11036.91,60,1615
60,The Absolutely True Diary of a Part-Time Indian,2007,1,5,58,2,4.11,160607,6.49,10384.0,6230.4,61,1600
61,ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°,1967,1,2,59,2,4.32,131389,3.99,6320.16,0.0,62,1584
62,A Wizard of Earthsea,1968,1,2,60,1,3.99,155042,3.0,4707.0,0.0,63,1569
63,Because of Winn-Dixie,2000,1,2,61,2,4.0,154476,0.99,1522.62,0.0,65,1538
64,A Separate Peace,1959,1,2,62,1,3.56,155901,3.89,5924.47,0.0,66,1523
65,The Rainmaker,1995,1,2,63,2,3.91,137412,7.99,12040.93,0.0,67,1507
66,Don Quijote de La Mancha,1605,1,3,64,2,3.85,134931,8.99,13413.08,8047.848,68,1492
67,Assassin's Apprentice,1995,1,2,65,2,4.14,132777,1.99,2907.39,0.0,70,1461
68,The Restaurant at the End of the Universe,1980,1,4,66,2,4.22,153838,7.99,11553.54,6932.124,71,1446
69,Torment,2010,1,2,67,2,3.89,174393,3.99,5705.7,0.0,72,1430
70,The Tale of Peter Rabbit,1901,1,4,68,2,4.17,162373,6.99,9890.85,5934.51,73,1415
71,The Silver Chair,1953,1,3,69,2,3.95,170453,3.79,5245.36,3147.216,75,1384
72,The Hero of Ages,2008,3,2,31,2,4.46,143622,4.21,5826.64,3495.984,75,1384
73,"Girl, Interrupted",1993,1,3,70,2,3.9,145161,1.99,2724.31,1634.586,76,1369
74,"Are You There, Vodka? It's Me, Chelsea",2007,1,3,71,3,3.85,127096,3.99,5462.31,3277.386,76,1369
75,Jonathan Livingston Seagull,1970,1,2,72,1,3.8,133728,4.99,6751.47,0.0,77,1353
76,City of Heavenly Fire,2014,1,2,73,2,4.48,177796,4.99,6676.62,0.0,78,1338
77,Love You Forever,1986,1,2,74,5,4.34,159703,0.99,1309.77,785.862,79,1323
78,Cell,2006,1,1,23,1,3.64,144591,4.54,5933.78,3560.268,80,1307
79,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,2013,1,3,75,2,4.32,113565,6.49,8482.43,5089.458,80,1307
80,The Silmarillion,1977,1,5,76,2,3.87,134106,4.99,6447.08,3868.248,81,1292
81,The Drawing of the Three,1987,3,1,23,2,4.23,139052,1.99,2539.24,1523.544,82,1276
82,The Forgotten Garden,2008,1,2,77,5,4.12,138377,3.99,4907.7,0.0,85,1230
83,Der ProzeÃŸ,1925,1,2,78,2,3.98,131856,0.99,1202.85,0.0,86,1215
84,This Lullaby,2002,1,1,11,2,4.03,151829,1.99,2417.85,1450.71,86,1215
85,Plain Truth,2000,1,2,79,2,3.97,128406,0.99,1188.0,0.0,87,1200
86,Orange Is the New Black: My Year in a Women's Prison,2010,2,2,80,2,3.7,127186,1.99,2388.0,0.0,87,1200
87,The Hound of the Baskervilles,1902,1,7,81,2,4.09,154517,1.99,2356.16,1413.696,88,1184
88,"Thinking, Fast and Slow",2011,1,2,82,2,4.08,136950,0.99,1157.31,694.386,89,1169
89,The Mists of Avalon,1982,1,2,83,2,4.12,157736,0.99,1157.31,694.386,89,1169
90,"Are You There God? It's Me, Margaret",1970,1,2,84,2,3.89,151789,0.99,1111.77,0.0,92,1123
91,Nights in Rodanthe,2002,1,2,22,2,3.82,129807,4.99,5603.77,3362.262,92,1123
92,Mr. Mercedes,2014,1,7,23,2,3.92,125847,1.99,2202.93,1321.758,93,1107
93,All Together Dead,2007,1,5,27,2,4.05,162689,6.49,6983.24,4189.944,95,1076
94,Midwives,1997,1,5,85,1,3.97,133155,6.49,6885.89,4131.534,96,1061
95,The Polar Express,1985,3,2,86,1,4.29,168001,0.99,1035.54,621.324,97,1046
96,The True Story of the Three Little Pigs,1989,1,2,87,5,4.29,141945,0.99,1019.7,0.0,98,1030
97,Patriot Games,1987,1,2,88,2,4.11,141674,5.99,6079.85,0.0,99,1015
98,Veronika decide morrer,1998,1,4,89,2,3.69,111856,6.83,6932.45,4159.47,99,1015
99,"Lean In: Women, Work, and the Will to Lead",2013,1,2,90,2,3.94,135635,0.99,985.05,0.0,101,995
100,Dead as a Doornail,2005,1,4,27,2,4.01,169560,5.12,5068.8,3041.28,102,990
101,"Shatter Me (Shatter Me, #1)",2011,2,2,91,1,4.01,176433,2.24,2195.2,1317.12,104,980
102,Starship Troopers,1959,1,3,92,7,3.99,136886,7.5,7312.5,4387.5,105,975
103,I've Got Your Number,2011,1,2,93,2,3.93,144533,0.99,960.3,0.0,106,970
104,Sofies Verden,1991,1,4,94,2,3.88,109692,10.65,10224.0,6134.4,108,960
105,,2011,1,4,95,2,4.3,188136,7.99,7670.4,4602.24,108,960
106,The Martian Chronicles,1950,1,2,96,1,4.12,143236,1.99,1880.55,0.0,111,945
107,A Visit From the Goon Squad,2010,1,7,97,2,3.64,120126,4.99,4690.6,2814.36,112,940
108,Heidi,1880,1,4,98,2,3.97,144497,3.99,3730.65,2238.39,113,935
109,Prey,2002,1,2,42,3,3.72,131352,1.99,1850.7,0.0,114,930
110,The Last Battle,1956,1,2,12,2,4.02,158701,6.5,5980.0,3588.0,116,920
111,World Without End,2007,1,5,99,2,4.23,128715,0.99,905.85,543.51,117,915
112,Chosen: A House of Night Novel,2008,2,2,100,1,3.9,180961,8.48,7759.2,4655.52,117,915
113,Slammed,2012,1,2,9,2,4.29,153882,0.99,900.9,0.0,118,910
114,"Beastly (Beastly, #1, Kendra Chronicles, #1)",2007,1,2,101,2,3.84,150003,0.99,895.95,537.57,119,905
115,Tales of Caunterbury,1390,1,2,102,2,3.48,148480,0.99,891.0,0.0,120,900
116,Baby Proof,2006,3,7,103,1,3.71,124371,6.49,5841.0,3504.6,120,900
117,Inheritance,2011,3,5,104,1,4.08,146905,11.99,10731.05,6438.63,121,895
118,ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],2009,1,2,105,2,3.89,125195,2.99,2661.1,0.0,122,890
119,Uncle Tom's Cabin or Life Among the Lowly,1852,2,1,106,2,3.83,137858,1.99,1771.1,1062.66,122,890
120,Le FantÃ´me de l'OpÃ©ra,1909,1,2,107,2,3.97,141110,3.99,3531.15,0.0,123,885
121,"Definitely Dead (Sookie Stackhouse, #6)",2006,1,6,27,1,4.02,163054,7.5,6525.0,3915.0,126,870
122,Ensaio Sobre a Cegueira,1995,1,2,108,1,4.08,98738,3.99,3451.35,0.0,127,865
123,Freedom,2010,1,5,109,1,3.73,119213,7.99,6871.4,4122.84,128,860
124,Crossed,2011,1,2,110,2,3.52,100886,0.99,841.5,504.9,130,850
125,"I'd Tell You I Love You, But Then I'd Have to Kill You",2006,1,3,111,1,3.82,150222,11.99,10131.55,6078.93,131,845
126,The White Tiger,2008,1,5,112,2,3.71,114531,7.99,6711.6,4026.96,132,840
127,The Corrections,2001,1,2,109,2,3.78,117657,0.99,816.75,0.0,135,825
128,Dreams from My Father,1995,3,1,113,2,3.81,128961,1.99,1641.75,985.05,135,825
129,Congo,1980,3,5,42,2,3.55,129811,6.99,5696.85,3418.11,137,815
130,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",1972,1,2,114,7,4.22,146073,2.99,2421.9,0.0,138,810
131,Interpreter of Maladies,1999,1,4,115,2,4.12,110651,10.65,8573.25,5143.95,139,805
132,A People's History of the United States: 1492 to Present,1980,1,2,116,2,4.07,137372,3.99,3192.0,0.0,140,800
133,Breakfast at Tiffany's,1958,1,2,117,2,3.89,129778,0.99,792.0,475.2,140,800
134,The Passage,2010,1,2,118,2,4.04,126993,3.99,3172.05,0.0,141,795
135,Anansi Boys,2005,3,2,119,2,4.0,137639,1.99,1572.1,943.26,142,790
136,Along for the Ride,2009,1,4,11,2,4.08,151721,11.99,9412.15,5647.29,143,785
137,Everything I Never Told You,2014,1,2,120,2,3.78,108703,3.99,3112.2,0.0,144,780
138,La casa de los espÃ­ritus,1982,1,6,121,1,4.2,119930,10.67,8269.25,4961.55,145,775
139,The Dead Zone,1979,1,1,23,1,3.9,132723,1.99,1512.4,907.44,148,760
140,The Mysterious Affair at Styles,1920,1,2,122,2,3.98,135514,3.99,3012.45,0.0,149,755
141,Murder in the Calais Coach,1934,1,2,123,2,4.16,138444,4.99,3742.5,0.0,150,750
142,Americanah,2013,1,2,124,2,4.26,113252,3.99,2992.5,0.0,150,750
143,Suzanne's Diary for Nicholas,2001,1,5,37,2,4.16,121398,4.99,3717.55,2230.53,151,745
144,Firestarter,1980,1,7,23,2,3.85,142213,3.99,2952.6,1771.56,152,740
145,Entwined with You,2013,1,2,125,2,4.19,141641,0.99,727.65,0.0,153,735
146,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",2009,1,2,126,2,4.27,109642,4.99,3642.7,0.0,154,730
147,The Storied Life of A.J. Fikry,2014,1,5,127,2,3.98,115393,7.51,5444.75,3266.85,155,725
148,Mad About Madeline,1939,1,2,128,5,4.22,156726,0.99,712.8,0.0,156,720
149,Think and Grow Rich,1937,1,2,129,2,4.17,87445,0.99,702.9,0.0,158,710
150,Little House In The Big Woods,1932,1,2,14,2,4.16,165127,0.99,697.95,418.77,159,705
151,Jonathan Strange & Mr Norrell,2004,1,3,130,2,3.8,133683,7.99,5593.0,3355.8,160,700
152,A Bend in the Road,2001,1,1,22,2,4.02,116800,1.99,1353.2,811.92,164,680
153,The House of Hades,2013,3,2,131,2,4.54,159774,0.99,668.25,400.95,165,675
154,Gone,2008,1,2,132,2,3.85,144606,5.49,3678.3,2206.98,166,670
155,The Wedding,2003,1,2,22,1,3.98,118045,0.99,658.35,395.01,167,665
156,1776,2005,1,5,133,2,4.06,130293,11.84,7814.4,4688.64,168,660
157,Under the Banner of Heaven: A Story of Violent Faith,2003,1,2,134,2,3.98,112167,0.99,648.45,0.0,169,655
158,Beautiful Ruins,2012,1,5,135,2,3.67,116053,14.99,9818.45,5891.07,169,655
159,The Audacity of Hope: Thoughts on Reclaiming the American Dream,2006,1,2,113,1,3.69,110873,4.99,3243.5,0.0,170,650
160,On Writing: A Memoir of the Craft,1999,1,2,23,2,4.31,131481,2.99,1943.5,0.0,170,650
161,Firefly Lane,2008,1,2,136,1,4.04,121966,4.99,3218.55,0.0,171,645
162,Sphere,1987,1,5,42,2,3.77,128244,6.99,4473.6,2684.16,172,640
163,Love the One You're With,2008,1,6,103,1,3.7,124812,8.99,5663.7,3398.22,174,630
164,The Silkworm,2014,1,2,137,2,4.03,120008,0.99,608.85,0.0,177,615
165,The Vampire Lestat,1985,1,2,138,2,4.05,141299,0.99,603.9,362.34,178,610
166,State of Wonder,2011,1,2,139,2,3.85,124837,2.0,1210.0,0.0,179,605
167,The Silver Linings Playbook,2008,1,2,140,1,4.0,110939,0.99,594.0,0.0,180,600
168,Vingt Mille Lieues Sous les Mers,1869,1,2,141,2,3.86,121112,5.95,3540.25,0.0,181,595
169,The Constant Princess,2005,1,4,142,1,3.88,124786,5.99,3564.05,2138.43,181,595
170,Mrs Dalloway,1925,1,2,143,1,3.78,136327,1.99,1174.1,704.46,182,590
171,HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann,2009,1,7,144,5,3.81,92275,8.89,5200.65,3120.39,183,585
172,Bag of Bones,1998,1,2,23,1,3.87,131004,0.99,569.25,0.0,185,575
173,The Cider House Rules,1985,1,2,145,2,4.1,124876,1.99,1134.3,0.0,186,570
174,Thinner,1984,1,2,146,5,3.66,130219,2.99,1659.45,0.0,189,555
175,Le tour du monde en quatre-vingts jours,1872,1,4,147,2,3.9,117108,7.99,4434.45,2660.67,189,555
176,Walk Two Moons,1994,3,2,148,2,3.95,129350,0.99,544.5,326.7,190,550
177,Onze minutos,2003,1,2,89,2,3.69,102206,0.99,534.6,0.0,192,540
178,Nine Stories,1953,1,2,149,2,4.19,105138,3.99,2154.6,0.0,192,540
179,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",2005,3,5,150,2,3.67,121373,2.99,1599.65,959.79,193,535
180,Unwind,2007,1,7,151,2,4.18,143892,0.99,524.7,314.82,194,530
181,"Drums of Autumn (Outlander, #4)",1996,3,2,24,2,4.34,123736,1.99,1024.85,614.91,197,515
182,Prodigy,2013,1,2,152,2,4.29,149702,2.99,1524.9,0.0,198,510
183,The Tragedie of King Lear,1603,1,2,153,2,3.89,135448,3.99,2014.95,1208.97,199,505
184,Death of a Salesman,1949,1,4,154,2,3.49,132061,10.91,5433.18,3259.908,201,498
185,The Choice,2007,1,2,22,1,3.99,93479,2.99,1483.04,0.0,202,496
186,,2012,1,1,155,1,4.51,119915,6.01,2950.91,1770.546,205,491
187,The Sound and the Fury,1929,1,3,156,2,3.86,124665,4.99,2445.1,1467.06,206,490
188,A New Earth: Awakening to Your Life's Purpose,2005,1,2,157,2,4.02,106211,0.99,483.12,289.872,207,488
189,BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,2002,2,4,158,2,4.21,120004,5.34,2605.92,1563.552,207,488
190,,2013,1,4,159,2,4.17,118910,10.91,5269.53,3161.718,210,483
191,The Shadow Rising,1992,3,8,160,1,4.21,122524,4.26,2057.58,1234.548,210,483
192,Shantaram,2003,1,2,161,2,4.26,95213,0.99,476.19,0.0,211,481
193,From Dead to Worse,2008,1,2,27,2,4.01,151095,0.99,475.2,285.12,212,480
194,The Waste Lands,1991,1,2,162,2,4.24,117483,2.99,1429.22,0.0,213,478
195,The Bone Collector,1997,1,5,163,1,4.18,120541,10.99,5253.22,3151.932,213,478
196,Der Vorleser,1995,1,2,164,2,3.73,119911,2.99,1423.24,0.0,214,476
197,"Brown Bear, Brown Bear, What Do You See?",1967,1,3,165,2,4.19,125668,4.99,2375.24,1425.144,214,476
198,Hyperion,1989,1,2,166,2,4.21,122225,0.99,470.25,0.0,215,475
199,The Pearl of the World,1947,1,2,167,2,3.41,133264,0.99,470.25,282.15,215,475
200,The Exorcist,1971,1,2,168,1,4.14,124467,2.99,1399.32,0.0,219,468
201,The Short Second Life of Bree Tanner,2009,1,2,169,2,3.51,145874,0.99,461.34,0.0,220,466
202,Snow Falling on Cedars,1994,1,2,170,2,3.8,131945,2.99,1393.34,0.0,220,466
203,Roots,1976,1,7,171,1,4.42,118951,0.99,460.35,276.21,221,465
204,Batman: The Killing Joke,1988,1,5,172,2,4.36,113855,0.99,455.4,273.24,224,460
205,Invisible Man,1952,1,2,173,2,3.84,123073,0.99,455.4,0.0,224,460
206,A Long Way Gone. Memoirs of a Boy Soldier,2007,1,2,174,1,4.14,116260,7.99,3643.44,0.0,226,456
207,Mrs. Frisby and the Rats of NIMH,1971,1,2,175,3,4.13,135978,3.99,1815.45,1089.27,227,455
208,Different Seasons,1982,1,6,23,2,4.34,105961,10.99,5000.45,3000.27,227,455
209,The Little House Collection,1953,1,5,14,3,4.33,124320,11.47,5195.91,3117.546,228,453
210,The Girls' Guide to Hunting and Fishing,1998,3,2,176,3,3.29,113977,0.99,448.47,0.0,228,453
211,Wool Omnibus,2012,1,4,177,2,4.24,81982,4.99,2250.49,1350.294,229,451
212,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",2002,1,5,178,1,4.26,118576,10.65,4792.5,2875.5,230,450
213,The Power of Now,1997,1,4,157,2,4.1,104549,10.65,4771.2,2862.72,231,448
214,Let's Pretend This Never Happened (A Mostly True Memoir),2012,1,2,179,2,3.9,118475,0.99,443.52,266.112,231,448
